Merchant,LTV/Account,CAC/Account,LTV/CAC
Merchant 5,167.27338887344257,80.96514285302486,2.0659926355850704
Merchant 9,108.1403726053012,78.50593734575966,1.3774801787159627
Merchant 6,106.663805690891,89.47728948935514,1.1920768532397317
Merchant 4,98.93141724222237,85.17371211375678,1.1615252498340216
Merchant 3,98.85533757354176,86.28674272597759,1.145660786935468
Merchant 8,62.48299317962282,83.02843074361836,0.7525493691740683
Merchant 1,59.76155571944981,91.00523111806254,0.6566826432419054
Merchant 2,28.537360620507638,92.52647335378335,0.30842373632238695
Merchant 10,9.958811065338223,83.43078575813381,0.11936614254369912
Merchant 7,-47.95526527626161,94.9596547487173,-0.5050067357885943
