Vintage Index,QSB,Contribution Profit,New Accounts,CP per Account
2,0,-105961.0,22090.0,-4.796785875961974
2,1,-165654.0,22090.0,-7.499049343594387
2,2,62218.0,22090.0,2.816568583069262
2,3,4304.0,22090.0,0.1948392937980987
2,4,951.0,22090.0,0.04305115436849253
2,5,-5732.0,22090.0,-0.25948392937980985
2,6,230994.0,22090.0,10.456948845631507
2,7,154536.0,22090.0,6.995744680851064
2,8,132058.0,22090.0,5.97818017202354
2,9,81270.0,22090.0,3.679040289723857
2,10,255634.0,22090.0,11.572385694884563
2,11,166322.0,22090.0,7.529289271163423
2,12,138016.47139138365,22090.0,6.2479163146846375
2,13,133652.72120223168,22090.0,6.050372168503019
2,14,147984.35900936104,22090.0,6.699156134421052
2,15,144220.57437124787,22090.0,6.528772040346214
2,16,144679.76500052825,22090.0,6.549559302875883
2,17,140958.6225772522,22090.0,6.381105594262208
2,18,152887.75379303118,22090.0,6.92112964205664
2,19,149663.12826397247,22090.0,6.775152931823109
3,0,-236456.0,27719.0,-8.530466467044265
3,1,36667.0,27719.0,1.3228110682203542
3,2,-62930.0,27719.0,-2.2702839207763628
3,3,-21556.0,27719.0,-0.7776615318012915
3,4,-61227.0,27719.0,-2.2088459179624085
3,5,253853.0,27719.0,9.158086511057398
3,6,158792.0,27719.0,5.728633789097731
3,7,160735.0,27719.0,5.798730112918936
3,8,93612.0,27719.0,3.3771781088783865
3,9,363310.0,27719.0,13.106894188102023
3,10,231164.0,27719.0,8.339550488834373
3,11,39485.78060691862,27719.0,1.4245023488191717
3,12,-18722.091760028085,27719.0,-0.6754245016064102
3,13,7953.215217619011,27719.0,0.2869228766412573
3,14,2992.555820110286,27719.0,0.10796045384430483
3,15,5416.440862268581,27719.0,0.19540534875964433
3,16,532.3196012934513,27719.0,0.019204141610211455
3,17,23011.140555056485,27719.0,0.8301576736194122
3,18,18995.509646392165,27719.0,0.6852884175616785
4,0,-28213.0,19314.0,-1.4607538573055814
4,1,-79239.0,19314.0,-4.102671637154396
4,2,-37270.0,19314.0,-1.9296883089986538
4,3,-85046.0,19314.0,-4.403334368851611
4,4,122827.0,19314.0,6.359480169824997
4,5,80542.0,19314.0,4.170135652894274
4,6,123199.0,19314.0,6.378740809775293
4,7,59614.0,19314.0,3.0865693279486384
4,8,249846.0,19314.0,12.93600497048773
4,9,161083.0,19314.0,8.340219529874702
4,10,154807.75750410795,19314.0,8.01531311505167
4,11,47034.3379494346,19314.0,2.435245829420866
4,12,34809.732689248674,19314.0,1.80230572068182
4,13,31763.07405744837,19314.0,1.6445621858469697
4,14,33114.47207617067,19314.0,1.714532053234476
4,15,30106.057526500044,19314.0,1.5587686407010481
4,16,43404.861221810505,19314.0,2.247326355069406
4,17,40907.37756664256,19314.0,2.118016856510436
5,0,-91065.0,22747.0,-4.003385061766386
5,1,-96083.0,22747.0,-4.223985580516112
5,2,-134808.0,22747.0,-5.926407877961929
5,3,144391.0,22747.0,6.347694201433156
5,4,62421.0,22747.0,2.744142084670506
5,5,89862.0,22747.0,3.950498966896734
5,6,77082.0,22747.0,3.3886666373587726
5,7,310100.0,22747.0,13.632566931903108
5,8,212698.0,22747.0,9.350595682947201
5,9,217413.94438551785,22747.0,9.557917280763084
5,10,220014.9407282558,22747.0,9.672261868741188
5,11,118865.86397985627,22747.0,5.225562227100553
5,12,76469.89427177298,22747.0,3.3617573425846476
5,13,77725.58182518359,22747.0,3.41695967930644
5,14,73896.30897049796,22747.0,3.2486177944563224
5,15,89092.57475881345,22747.0,3.9166736166885063
5,16,85862.01038872957,22747.0,3.7746520591167876
6,0,-121749.0,23477.0,-5.185884056736381
6,1,-159252.0,23477.0,-6.783319844954637
6,2,82630.0,23477.0,3.5196149422839373
6,3,6013.0,23477.0,0.25612301401371557
6,4,69728.0,23477.0,2.970055799292925
6,5,30977.0,23477.0,1.319461600715594
6,6,305251.0,23477.0,13.00212974400477
6,7,198913.0,23477.0,8.472675384418793
6,8,149917.61003803255,23477.0,6.3857226237608105
6,9,172206.48116629611,23477.0,7.335114416931299
6,10,206629.58491809992,23477.0,8.801362393751328
6,11,79108.05885807367,23477.0,3.369598281640485
6,12,44432.14426904676,23477.0,1.8925818575221178
6,13,40435.621896843484,23477.0,1.7223504662794857
6,14,57587.3391476417,23477.0,2.4529258060076544
6,15,54256.74696367709,23477.0,2.3110596312849636
7,0,-231844.0,30330.0,-7.6440487965710515
7,1,28196.0,30330.0,0.929640619848335
7,2,-24980.0,30330.0,-0.8236069897790966
7,3,25919.0,30330.0,0.8545664358720738
7,4,-34563.0,30330.0,-1.139564787339268
7,5,345066.0,30330.0,11.377052423343224
7,6,227358.0,30330.0,7.4961424332344215
7,7,177139.69321114218,30330.0,5.840411909368354
7,8,145852.65610462622,30330.0,4.80885776803911
7,9,227287.72152837398,30330.0,7.493825305914077
7,10,229956.55733705722,30330.0,7.5818185735923915
7,11,79005.19240676332,30330.0,2.6048530302262884
7,12,26244.506253191325,30330.0,0.8652985906096711
7,13,50158.548767844084,30330.0,1.6537602627050474
7,14,45576.9435408008,30330.0,1.5027017323046752
8,0,-42336.0,21006.0,-2.0154241645244215
8,1,-85379.0,21006.0,-4.064505379415405
8,2,-52996.0,21006.0,-2.522898219556317
8,3,-74998.0,21006.0,-3.570313243835095
8,4,173589.0,21006.0,8.263781776635247
8,5,114049.0,21006.0,5.429353518042464
8,6,115379.05470371938,21006.0,5.492671365501256
8,7,94550.42351289895,21006.0,4.501115086779918
8,8,117374.59301291557,21006.0,5.5876698568464045
8,9,132972.89386929225,21006.0,6.330233926939553
8,10,142955.77147049783,21006.0,6.805473268137572
8,11,34729.62770736731,21006.0,1.6533194186121734
8,12,20210.57968159939,21006.0,0.9621336609349419
8,13,17265.200767854505,21006.0,0.8219175839214751
9,0,-94803.0,24683.0,-3.840821618117733
9,1,-80545.0,24683.0,-3.2631770854434228
9,2,-108292.0,24683.0,-4.387311104808978
9,3,168568.0,24683.0,6.829315723372361
9,4,101495.0,24683.0,4.111939391484017
9,5,143421.00108197067,24683.0,5.810517403961053
9,6,173240.37846293926,24683.0,7.018611127615738
9,7,199944.97314264107,24683.0,8.100513436075074
9,8,176628.5230524983,24683.0,7.155877448142377
9,9,208170.50156985386,24683.0,8.43376014138694
9,10,211694.31574811108,24683.0,8.576522940813964
9,11,108872.77791151061,24683.0,4.4108405749508
9,12,63566.26717999973,24683.0,2.575305561722632
10,0,-122880.0,25488.0,-4.821092278719397
10,1,-149791.0,25488.0,-5.8769224733207786
10,2,119747.0,25488.0,4.698171688637791
10,3,63275.0,25488.0,2.4825408035153798
10,4,46384.138793877275,25488.0,1.8198422313981981
10,5,103000.92879936227,25488.0,4.041153829227961
10,6,196699.87290445523,25488.0,7.717352201210579
10,7,169994.33322631108,25488.0,6.66958306757341
10,8,158121.66527191957,25488.0,6.203769039230994
10,9,181541.98388301587,25488.0,7.122645318699618
10,10,218204.16527298396,25488.0,8.56105482081701
10,11,84414.38364781313,25488.0,3.311926539854564
11,0,-251471.0,32110.0,-7.831547804422298
11,1,49224.0,32110.0,1.5329803799439428
11,2,11151.0,32110.0,0.34727499221426344
11,3,12742.801584896968,32110.0,0.39684838321074334
11,4,12776.736686667475,32110.0,0.39790522225685065
11,5,179485.28274351513,32110.0,5.589700490299443
11,6,213213.1481423205,32110.0,6.640085585248225
11,7,197963.03418255987,32110.0,6.165152107834316
11,8,165697.5321358571,32110.0,5.1603093159718805
11,9,249857.85970398822,32110.0,7.781309863095242
11,10,252782.37215084245,32110.0,7.872387796662798
12,0,-42760.0,21821.0,-1.9595802208881352
12,1,-85272.0,21821.0,-3.907795243114431
12,2,-87327.58561892321,21821.0,-4.001997416201054
12,3,-88233.56210828184,21821.0,-4.0435159758160415
12,4,-24026.014495385618,21821.0,-1.101050112065699
12,5,7420.186122487721,21821.0,0.34004794108829667
12,6,37640.77844933515,21821.0,1.7249795357378281
12,7,18742.413816281663,21821.0,0.8589163565501885
12,8,43378.225205618095,21821.0,1.9879118833059024
12,9,56802.70316487079,21821.0,2.6031209919284537
13,0,-115548.0,26356.0,-4.384125056913037
13,1,-38750.713589259496,26356.0,-1.4702805277454658
13,2,-8097.850037311022,26356.0,-0.30724882521289354
13,3,95020.72469009139,26356.0,3.605278672412027
13,4,104949.27986758499,26356.0,3.9819881570642357
13,5,185356.8629283699,26356.0,7.032814650492104
13,6,218345.7126618779,26356.0,8.284478398158972
13,7,245437.42327532856,26356.0,9.312392748343017
13,8,221231.77838438743,26356.0,8.393981574760488
14,0,-140013.4702553773,27649.25454297854,-5.0639148349456455
14,1,-112972.13947571887,27649.25454297854,-4.085901820611936
14,2,15743.514116361024,27649.25454297854,0.5694010336477245
14,3,29043.60488438869,27649.25454297854,1.0504299433911588
14,4,55027.97430070026,27649.25454297854,1.9902154763400115
14,5,117851.45291179919,27649.25454297854,4.262373610420802
14,6,218435.45672677996,27649.25454297854,7.900229512055728
14,7,189607.2142313534,27649.25454297854,6.857588653488804
15,0,-189743.94494833788,29005.967399545436,-6.541548583251577
15,1,-40927.96111807794,29005.967399545436,-1.4110186553791457
15,2,-14371.905816463042,29005.967399545436,-0.4954810028741972
15,3,24574.41427100491,29005.967399545436,0.8472192612127815
15,4,27285.802051516046,29005.967399545436,0.9406961566102999
15,5,177411.24616852816,29005.967399545436,6.116370597979381
15,6,209569.9637892403,29005.967399545436,7.225063756795251
16,0,-104926.53079622834,30429.252386377633,-3.448212577289646
16,1,-78077.08061935488,30429.252386377633,-2.5658560265617276
16,2,-21875.80336873713,30429.252386377633,-0.7189070270596049
16,3,-6828.133464572674,30429.252386377633,-0.22439373067310217
16,4,95480.93106127436,30429.252386377633,3.1378007533309833
16,5,161760.00398725367,30429.252386377633,5.31593750425723
17,0,-152707.39517386784,31922.376111074984,-4.783710167517522
17,1,-89643.00701213989,31922.376111074984,-2.8081558434191747
17,2,-60560.698853822396,31922.376111074984,-1.8971237806076653
17,3,64450.08408880305,31922.376111074984,2.0189626193409542
17,4,69885.63161366379,31922.376111074984,2.189236520818324
18,0,-169584.2562645684,33488.765469411504,-5.0639148349456455
18,1,-136831.80780151466,33488.765469411504,-4.085901820611938
18,2,19068.537673869207,33488.765469411504,0.5694010336477267
18,3,35177.60201627358,33488.765469411504,1.0504299433911546
19,0,-229817.78628926814,35132.01551046703,-6.541548583251581
19,1,-49571.92928633855,35132.01551046703,-1.4110186553791477
19,2,-17407.24627811805,35132.01551046703,-0.4954810028741971
20,0,-127086.96995399501,36855.89768769058,-3.4482125772896453
20,1,-94566.92719630334,36855.89768769058,-2.565856026561728
21,0,-184959.13278504965,38664.36851483271,-4.7837101675175235
