Merchant,LTV/Account,CAC/Account,LTV/CAC
Merchant 5,158.2139773336697,80.96514285302486,1.9540998972962207
Merchant 9,101.5432331063318,78.50593734575966,1.2934465409808453
Merchant 6,114.08997377673099,89.47728948935514,1.2750718582093834
Merchant 4,100.6791170883785,85.17371211375678,1.1820444898998053
Merchant 3,100.04305925524062,86.28674272597759,1.1594256092497224
Merchant 8,69.18165444722665,83.02843074361836,0.8332284956806078
Merchant 1,60.637973136105465,91.00523111806254,0.6663130502623399
Merchant 10,44.940118458589765,83.43078575813381,0.5386515067576056
Merchant 2,33.298641139138184,92.52647335378335,0.3598823118635227
Merchant 7,3.350846023526474,94.9596547487173,0.03528704935157461
